Truckstop Name,Address,City,State,Retail Price
WOODSHED OF BIG CABIN,"I-44, EXIT 283 & US-69",Big Cabin,OK,3.00733333
KWIK TRIP #796,"I-94, EXIT 143 & US-12 & SR-21",Tomah,WI,3.28733333
PILOT TRAVEL CENTER #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,3.899
PILOT #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,3.899
LITTLEFIELD EXPRESS #2,"I-540, EXIT 12 & US-71",Fort Smith,AR,3.399
ACI TRUCK STOP,US-46,Columbia,NJ,3.079
SHENANDOAH TRUCK CENTER,"I-81, EXIT 273 & SR-703/SR-292",Mount Jackson,VA,2.899
CIRCLE K #2612042,"I-35,  EXIT 271",Jarrell,TX,2.919
PETRO STOPPING CENTER #348,"I-85,  EXIT 22 & CR-138",Shorter,AL,3.154
TA SEYMOUR TRAVEL CENTER,"I-65, EXIT 50 & US-50 & US-31",Seymour,IN,3.959
TA COUNCIL BLUFFS TRAVEL CENTER,"I-29 & I-80, EXIT 3",Council Bluffs,IA,3.72566666
TOPS TRUCK STOP,"I-94, EXIT 182 & US-83",Sterling,ND,3.51566666
Good 2 Go #709,US-50,Montrose,CO,3.424
OASIS TRAVEL PLAZA,US-13,Laurel,DE,3.229
DELAWARE TRUCK PLAZA,US-13 & US-40,New Castle                              ,DE,3.249
One9 #89,"I-75, EXIT 224",Ellenton,FL,3.439
DOWNIEVILLE FUEL STOP,"I-70, EXIT 234",Dumont,CO,3.459
MOLLYS FOOD & FUEL,"I-20 & ST 22, EXIT 55",Crawfordville                           ,GA,3.499
TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,3.269
TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,3.339
TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,3.429
TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,3.289
TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,3.399
TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,3.299
Lupton Truck Stop #567,"I-40, EXIT 359",Lupton,AZ,3.299
PETRO STOPPING CENTER #306,"I-10, EXIT 200",Eloy,AZ,3.474
CIRCLE K #4700095,US-41,Henderson,KY,3.609
THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,3.399
THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,3.349
THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,3.549
LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,3.589
LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,3.389
LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,3.449
SPEEDWAY #8039,"I-69, EXIT 234 & SR-67",Daleville,IN,3.624
RAYS TRUCK WASH,"I-69, EXIT 309 & US-30",Fort Wayne                              ,IN,3.59233333
CUBBYS #2101,"I-80, EXIT 211 & SR-47",Gothenburg,NE,3.13233333
PILOT TRAVEL CENTER #87,"I-10, EXIT 343",Jacksonville,FL,3.859
PILOT TRAVEL CENTERS #87,"I-10, EXIT 343",Jacksonville,FL,3.859
PILOT TRAVEL CENTERS #79,"I-12, EXIT 10 AT MILE 10",Denham Springs                          ,LA,3.23233333
FLYING J TRAVEL PLAZA #650,"I-94, EXIT 15 B",Lake Station                            ,IN,3.809
FLYING J TRAVEL PLAZA #653,RT 2 & I-65 EXIT 240,Hebron,IN,3.43566666
Hop-In Food Stores,US-59 & SR-224,Nacogdoches                             ,TX,2.859
SAPP BROS TRAVEL CENTER,"I-29 & I-80, EXIT 1B",Council Bluffs,IA,3.719
COFFEE CUP FUEL STOP #5,"I-90, EXIT 154 & US-16",Moorcroft                               ,WY,3.239
DUDLEYS CORNER,"I-35, EXIT 165 & SR-3",Latimer,IA,3.23233333
KUM & GO #0302,"I-35, EXIT 193 & SR 106",Clear Lake,IA,3.18566666
Brew Stuart Truckstop,"I-80, EXIT 93",Stuart                                  ,IA,3.099
PETRO STOPPING CENTER #311,"I-40 & I-55, EXIT 280",West Memphis,AR,3.36733333
SINCLAIR,"I-76, EXIT 115",Atwood,CO,3.299
PETRO STOPPING CENTER #366,"I-70, EXIT 252",Salina,KS,3.80566666
PILOT TRAVEL CENTER #31,"I-80/94, EXIT 2",Highland,IN,3.829
PILOT TRAVEL CENTERS #31,"I-80/94, EXIT 2",Highland,IN,3.799
MARATHON,SR-32,Sardinia                                ,OH,3.56566666
CIRCLE K #2721593,"I-10, EXIT 50",Ocean Springs,MS,3.41566666
NORTH 9TH 24/7,"I-70, EXIT 252",Salina,KS,3.02566666
DERBY CITYS TRUCK PLAZA,"I-75, EXIT 62 & US-25",Mount Vernon,KY,2.999
PILOT TRAVEL CENTERS #92,"I-75, EXIT 358",Ocala,FL,3.359
PILOT TRAVEL CENTER #92,"I-75, EXIT 358",Ocala,FL,3.41233333
LA 1 SOUTH TRUCKSTOP,"I-10, EXIT 153 & SR-1",Port Allen,LA,3.039
SAVE,US-41 & SR-10,Lake Village,IN,3.179
BIG D TRUCK TRAVEL PLAZA,"I-10, EXIT 92 & SR-95",Duson,LA,2.98233333
Mardi Gras Truck Stop,"I-10, EXIT 236",New Orleans,LA,3.729
GOLDEN OX TRUCK STOP,"I-70/US-40, EXIT 159 & US-183",Hays,KS,3.499
LOVES TRAVEL STOP #450,"I-40, EXIT 280 & I-55, EXIT 4",West Memphis,AR,3.32566666
BFS FOODS #66,"I-68/US-40, EXIT 22 & US-219",Grantsville                             ,MD,3.899
PILOT TRAVEL CENTER #917- TOWN PUMP,I-15 & 31ST STREET EXIT 277,Great Falls                             ,MT,3.63566666
CASEYS #3956,I-94 EXIT 16,Bridgman,MI,3.559
CORNER MARKET #117,SR-154 & SR-129,Dodge City,KS,3.399
PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,3.299
PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,3.249
